text,label
"Scientists discover new breakthrough in cancer treatment after years of research. The peer-reviewed study published in Nature shows promising results.",REAL
"BREAKING: Aliens landed in New York City last night! Government covering it up!",FAKE
"The Federal Reserve announced a 0.25% interest rate increase today, citing inflation concerns.",REAL
"Drinking bleach cures all diseases according to doctors. Share this before they delete it!",FAKE
"Apple Inc. reported record quarterly earnings, exceeding analyst expectations by 12%.",REAL
"5G towers are controlling people's minds! Wake up sheeple!",FAKE
"The World Health Organization released new guidelines for preventing respiratory infections.",REAL
"Hillary Clinton runs secret pizza shop trafficking ring confirmed by anonymous sources!",FAKE
"NASA's Perseverance rover successfully collected rock samples on Mars surface.",REAL
"COVID vaccine contains microchips to track you! Bill Gates admitted it in secret video!",FAKE
"Climate scientists report 2024 was the hottest year on record based on global temperature data.",REAL
"Flat Earth proven! NASA admits all space photos are CGI!",FAKE
"The European Central Bank maintained its benchmark interest rate at the latest policy meeting.",REAL
"Celebrities are actually lizard people wearing human skin suits!",FAKE
"Microsoft announced acquisition of gaming company for $68 billion pending regulatory approval.",REAL
"Eating carrots gives you night vision like a cat! Doctors hate this one trick!",FAKE
"United Nations Security Council held emergency session to discuss humanitarian crisis.",REAL
"The moon landing was faked in a Hollywood studio directed by Stanley Kubrick!",FAKE
"Tesla delivered 500,000 vehicles in Q4, meeting production targets set earlier this year.",REAL
"Secret documents reveal government controlling weather with chemtrails!",FAKE
"The Supreme Court issued ruling on landmark civil rights case in 6-3 decision.",REAL
"Bigfoot captured in Montana! DNA tests show half human half ape!",FAKE
"Amazon Web Services experienced brief outage affecting multiple regions yesterday.",REAL
"Illuminati meeting photos leaked! World leaders caught in secret ritual!",FAKE
"Pharmaceutical company received FDA approval for new diabetes medication.",REAL
"Vaccines cause autism! CDC whistleblower confirms massive coverup!",FAKE
"The unemployment rate fell to 3.7% according to latest Bureau of Labor Statistics report.",REAL
"Mermaids are real! Government hiding underwater civilization!",FAKE
"Google announced new AI features for its search engine at annual developer conference.",REAL
"Time travel already exists! Elite using it to manipulate elections!",FAKE
